Year,Series Name,CHN,USA,DEU,TUR,IND,ARG
2001 [YR2001],"Inflation, GDP deflator (annual %)",2.047049457,2.193425336,1.30499491,52.97976063,3.215616017,-1.095767718
2002 [YR2002],"Inflation, GDP deflator (annual %)",0.602099078,1.581763014,1.378125824,37.57482085,3.715683777,30.55520405
2003 [YR2003],"Inflation, GDP deflator (annual %)",2.603177719,1.857095198,1.321253524,23.28928098,3.867798086,10.49570302
2004 [YR2004],"Inflation, GDP deflator (annual %)",6.951992681,2.692212128,1.115595867,12.42751108,5.725413227,18.36335425
2005 [YR2005],"Inflation, GDP deflator (annual %)",3.903744269,3.114942351,0.405207332,7.08541612,5.621903263,10.3175112
2006 [YR2006],"Inflation, GDP deflator (annual %)",3.926549397,3.026204637,0.397281155,9.376206366,8.400938217,13.74105249
2007 [YR2007],"Inflation, GDP deflator (annual %)",7.749686493,2.686278908,1.770273207,6.199758205,6.944418254,14.93992502
2008 [YR2008],"Inflation, GDP deflator (annual %)",7.795346037,1.945131704,0.909330422,12.0461536,9.193969626,23.17116498
2009 [YR2009],"Inflation, GDP deflator (annual %)",-0.209533361,0.762349991,1.841891638,5.446449094,7.040365435,15.37764937
2010 [YR2010],"Inflation, GDP deflator (annual %)",6.881380253,1.165250541,0.645275771,7.009283598,10.52603086,20.91512427
2011 [YR2011],"Inflation, GDP deflator (annual %)",8.075684467,2.088903778,1.069483745,8.200847099,8.7335779,23.70347218
2012 [YR2012],"Inflation, GDP deflator (annual %)",2.331217576,1.917849008,1.496488838,7.422673286,7.934388476,22.31488067
2013 [YR2013],"Inflation, GDP deflator (annual %)",2.163370027,1.754915786,1.959391683,6.280109694,6.186504001,23.94879842
2014 [YR2014],"Inflation, GDP deflator (annual %)",1.031063688,1.849827467,1.877939854,7.389518636,3.331756917,40.28297163
2015 [YR2015],"Inflation, GDP deflator (annual %)",-0.002944094,1.041461871,1.853678824,7.844916936,2.279588589,26.5799916
2016 [YR2016],"Inflation, GDP deflator (annual %)",1.407346027,1.035268879,1.327752223,8.13047808,3.237974366,41.11937999
2017 [YR2017],"Inflation, GDP deflator (annual %)",4.232681975,1.88368859,1.354187955,10.98242166,3.77809911,26.00637929
2018 [YR2018],"Inflation, GDP deflator (annual %)",3.499747636,2.436001896,1.672580166,16.48528447,4.555544363,40.01216526
2019 [YR2019],"Inflation, GDP deflator (annual %)",1.580277124,1.941945236,2.192462941,13.90620743,2.91168481,50.6225684
