Year,Country,Isocode,"Unemployment, total (% of total labor force) (national estimate)","Inflation, GDP deflator (annual %)"
1996 [YR1996],Turkey,TUR,6.629000187,77.22351222
1997 [YR1997],Turkey,TUR,6.84100008,81.45486258
1998 [YR1998],Turkey,TUR,6.888000011,143.6396616
1999 [YR1999],Turkey,TUR,7.686999798,54.27995836
2000 [YR2000],Turkey,TUR,6.494999886,49.36077621
2001 [YR2001],Turkey,TUR,8.380999565,52.97976063
2002 [YR2002],Turkey,TUR,10.3579998,37.57482085
2003 [YR2003],Turkey,TUR,10.54199982,23.28928098
2004 [YR2004],Turkey,TUR,10.8380003,12.42751108
2005 [YR2005],Turkey,TUR,10.63599968,7.08541612
2006 [YR2006],Turkey,TUR,8.718299866,9.376206366
2007 [YR2007],Turkey,TUR,8.868300438,6.199758205
2008 [YR2008],Turkey,TUR,9.709899902,12.0461536
2009 [YR2009],Turkey,TUR,12.55220032,5.446449094
2010 [YR2010],Turkey,TUR,10.65970039,7.009283598
2011 [YR2011],Turkey,TUR,8.795900345,8.200847099
2012 [YR2012],Turkey,TUR,8.149499893,7.422673286
2013 [YR2013],Turkey,TUR,8.731900215,6.280109694
2014 [YR2014],Turkey,TUR,9.879799843,7.389518636
2015 [YR2015],Turkey,TUR,10.23600006,7.844916936
2016 [YR2016],Turkey,TUR,10.83860016,8.13047808
2017 [YR2017],Turkey,TUR,10.81919956,10.98242166
2018 [YR2018],Turkey,TUR,10.89019966,16.48528447
2019 [YR2019],Turkey,TUR,13.66549969,13.90620743
1996 [YR1996],United States,USA,5.451099873,1.831030848
1997 [YR1997],United States,USA,5.000299931,1.724390999
1998 [YR1998],United States,USA,4.510499954,1.125520404
1999 [YR1999],United States,USA,4.218800068,1.443803518
2000 [YR2000],United States,USA,3.992000103,2.235474411
2001 [YR2001],United States,USA,4.731299877,2.193425336
2002 [YR2002],United States,USA,5.783199787,1.581763014
2003 [YR2003],United States,USA,5.988699913,1.857095198
2004 [YR2004],United States,USA,5.528600216,2.692212128
2005 [YR2005],United States,USA,5.083499908,3.114942351
2006 [YR2006],United States,USA,4.623000145,3.026204637
2007 [YR2007],United States,USA,4.622099876,2.686278908
2008 [YR2008],United States,USA,5.784200191,1.945131704
2009 [YR2009],United States,USA,9.254199982,0.762349991
2010 [YR2010],United States,USA,9.633399963,1.165250541
2011 [YR2011],United States,USA,8.949199677,2.088903778
2012 [YR2012],United States,USA,8.069399834,1.917849008
2013 [YR2013],United States,USA,7.374899864,1.754915786
2014 [YR2014],United States,USA,6.167500019,1.849827467
2015 [YR2015],United States,USA,5.28000021,1.041461871
2016 [YR2016],United States,USA,4.86920023,1.035268879
2017 [YR2017],United States,USA,4.355199814,1.88368859
2018 [YR2018],United States,USA,3.89560008,2.436001896
2019 [YR2019],United States,USA,3.669199944,1.941945236
1996 [YR1996],United Kingdom,GBR,8.191599846,4.120178583
1997 [YR1997],United Kingdom,GBR,7.072199821,1.068462956
1998 [YR1998],United Kingdom,GBR,6.203199863,0.950320277
1999 [YR1999],United Kingdom,GBR,6.042900085,0.908178957
2000 [YR2000],United Kingdom,GBR,5.561600208,1.860668858
2001 [YR2001],United Kingdom,GBR,4.695499897,0.99618507
2002 [YR2002],United Kingdom,GBR,5.036900043,2.112972327
2003 [YR2003],United Kingdom,GBR,4.80700016,2.256217717
2004 [YR2004],United Kingdom,GBR,4.594200134,2.548086698
2005 [YR2005],United Kingdom,GBR,4.750299931,2.508582034
2006 [YR2006],United Kingdom,GBR,5.349699974,2.767291318
2007 [YR2007],United Kingdom,GBR,5.262000084,2.58471942
2008 [YR2008],United Kingdom,GBR,5.614999771,2.877283955
2009 [YR2009],United Kingdom,GBR,7.53730011,1.65328044
2010 [YR2010],United Kingdom,GBR,7.786600113,1.533461367
2011 [YR2011],United Kingdom,GBR,8.037699699,2.040144015
2012 [YR2012],United Kingdom,GBR,7.884600163,1.661790841
2013 [YR2013],United Kingdom,GBR,7.524199963,1.895595964
2014 [YR2014],United Kingdom,GBR,6.109600067,1.825842508
2015 [YR2015],United Kingdom,GBR,5.300300121,0.581008065
2016 [YR2016],United Kingdom,GBR,4.809700012,2.140283015
2017 [YR2017],United Kingdom,GBR,4.329999924,1.890189804
2018 [YR2018],United Kingdom,GBR,3.995899916,2.136840552
2019 [YR2019],United Kingdom,GBR,3.737200022,1.87451232
1996 [YR1996],Spain,SPN,22.14189911,3.460128686
1997 [YR1997],Spain,SPN,20.69759941,2.355901058
1998 [YR1998],Spain,SPN,18.67359924,2.566663983
1999 [YR1999],Spain,SPN,15.47560024,2.541171038
2000 [YR2000],Spain,SPN,13.78520012,3.329704778
2001 [YR2001],Spain,SPN,10.34790039,4.10828642
2002 [YR2002],Spain,SPN,11.14610004,4.084599751
2003 [YR2003],Spain,SPN,11.28339958,3.933545203
2004 [YR2004],Spain,SPN,11.09020042,3.882162829
2005 [YR2005],Spain,SPN,9.146300316,4.10104389
2006 [YR2006],Spain,SPN,8.452199936,3.979585314
2007 [YR2007],Spain,SPN,8.232099533,3.416447158
2008 [YR2008],Spain,SPN,11.25450039,2.254248002
2009 [YR2009],Spain,SPN,17.8567009,0.143905294
2010 [YR2010],Spain,SPN,19.85969925,0.153388675
2011 [YR2011],Spain,SPN,21.39049911,-0.019750748
2012 [YR2012],Spain,SPN,24.78720093,-0.11455774
2013 [YR2013],Spain,SPN,26.09359932,0.398439553
2014 [YR2014],Spain,SPN,24.44129944,-0.223368485
2015 [YR2015],Spain,SPN,22.05730057,0.54555601
2016 [YR2016],Spain,SPN,19.63470078,0.322898794
2017 [YR2017],Spain,SPN,17.22360039,1.299554832
2018 [YR2018],Spain,SPN,15.25469971,1.188141606
2019 [YR2019],Spain,SPN,14.10420036,1.388484329
1996 [YR1996],Japan,JPN,3.400000095,-0.496487072
1997 [YR1997],Japan,JPN,3.400000095,0.503830133
1998 [YR1998],Japan,JPN,4.099999905,-0.045119614
1999 [YR1999],Japan,JPN,4.699999809,-1.309492414
2000 [YR2000],Japan,JPN,4.699999809,-1.383685531
2001 [YR2001],Japan,JPN,5,-1.104516896
2002 [YR2002],Japan,JPN,5.400000095,-1.458286043
2003 [YR2003],Japan,JPN,5.300000191,-1.616981144
2004 [YR2004],Japan,JPN,4.699999809,-1.100735877
2005 [YR2005],Japan,JPN,4.400000095,-1.037434652
2006 [YR2006],Japan,JPN,4.099999905,-0.883377798
2007 [YR2007],Japan,JPN,3.900000095,-0.729479771
2008 [YR2008],Japan,JPN,4,-0.980895409
2009 [YR2009],Japan,JPN,5.099999905,-0.61127256
