Year,Individuals using the Internet (% of population),GDP deflator (base year varies by country),,,,,,,,,,,,,,,,,,,,,,,,2019 [YR2019]
1996 [YR1996],0.192725,2.289606519,,,,,,,,,,,,,,,,,,,,,,,,73.9767
1997 [YR1997],0.473695,4.154602362,,,,,,,,,,,,,,,,,,,,,,,,243.7712139
1998 [YR1998],0.698805,10.12225914,,,,,,,,,,,,,,,,,,,,,,,,
1999 [YR1999],2.29212,15.61661718,,,,,,,,,,,,,,,,,,,,,,,,
2000 [YR2000],3.76169,23.32510064,,,,,,,,,,,,,,,,,,,,,,,,
2001 [YR2001],5.18948,35.68268313,,,,,,,,,,,,,,,,,,,,,,,,
2002 [YR2002],11.38,49.09038739,,,,,,,,,,,,,,,,,,,,,,,,
2003 [YR2003],12.33,60.52318565,,,,,,,,,,,,,,,,,,,,,,,,
2004 [YR2004],14.58,68.04471125,,,,,,,,,,,,,,,,,,,,,,,,
2005 [YR2005],15.46,72.86596219,,,,,,,,,,,,,,,,,,,,,,,,
2006 [YR2006],18.24,79.69802518,,,,,,,,,,,,,,,,,,,,,,,,
2007 [YR2007],28.63,84.63911003,,,,,,,,,,,,,,,,,,,,,,,,
2008 [YR2008],34.37,94.83486723,,,,,,,,,,,,,,,,,,,,,,,,
2009 [YR2009],36.4,100,,,,,,,,,,,,,,,,,,,,,,,,
2010 [YR2010],39.82,107.0092836,,,,,,,,,,,,,,,,,,,,,,,,
2011 [YR2011],43.0657,115.7849513,,,,,,,,,,,,,,,,,,,,,,,,
2012 [YR2012],45.13,124.37929,,,,,,,,,,,,,,,,,,,,,,,,
2013 [YR2013],46.25,132.1904458,,,,,,,,,,,,,,,,,,,,,,,,
2014 [YR2014],51.04,141.9586835,,,,,,,,,,,,,,,,,,,,,,,,
2015 [YR2015],53.745,153.0952243,,,,,,,,,,,,,,,,,,,,,,,,
2016 [YR2016],58.3477,165.5425979,,,,,,,,,,,,,,,,,,,,,,,,
2017 [YR2017],64.6846,183.723184,,,,,,,,,,,,,,,,,,,,,,,,
2018 [YR2018],71.0428,214.0104736,,,,,,,,,,,,,,,,,,,,,,,,
2019 [YR2019],73.9767,243.7712139,,,,,,,,,,,,,,,,,,,,,,,,
